House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
22,Renaissance Lane,Patrick,Wright,20,Head,Single,Male,University Student,None,None
23,Renaissance Lane,Geoffrey,Tucker,64,Head,Divorced,Male,Holiday representative,None,Christian
24,Renaissance Lane,Hollie,Shah,35,Head,Single,Female,Media buyer,None,None
24,Renaissance Lane,Mohamed,Shah,11,Son,NA,Male,Student,None,NA
25,Renaissance Lane,James,Rahman,75,Head,Widowed,Male,Retired Further education lecturer,None,Christian
26,Renaissance Lane,Brian,Weston,61,Head,Single,Male,Microbiologist,None,None
26,Renaissance Lane,Carly,McDonald,59,Partner,Single,Female,Product/process development scientist,None,None
27,Renaissance Lane,Jean,Roberts,45,Head,Married,Female,Clinical cytogeneticist,None,Catholic
27,Renaissance Lane,Mohamed,Roberts,42,Husband,Married,Male,Tourism officer,None,None
27,Renaissance Lane,Marian,Sharp,13,Daughter,NA,Female,Student,None,NA
28,Renaissance Lane,Molly,Parry,57,Head,Married,Female,Unemployed,None,Christian
28,Renaissance Lane,Andrew,Parry,59,Husband,Married,Male,Community development worker,None,None
28,Renaissance Lane,Katy,Parry,31,Daughter,Single,Female,Barrister,None,Christian
29,Renaissance Lane,Anna,Grant,62,Head,Married,Female,Pharmacologist,None,Catholic
29,Renaissance Lane,Barry,Grant,62,Husband,Married,Male,Government social research officer,None,Catholic
30,Renaissance Lane,Sylvia,Cooper,46,Head,Single,Female,"Engineer, communications",None,Catholic
30,Renaissance Lane,Rosie,Rowe,27,None,Single,Female,"Therapist, occupational",None,Methodist
30,Renaissance Lane,Kayleigh,Morley,21,None,Single,Female,University Student,None,None
31,Renaissance Lane,Josephine,Ward,58,Head,Single,Female,Cabin crew,None,None
32,Renaissance Lane,Jane,Lewis,104,Head,Widowed,Female,Retired Agricultural engineer,None,Christian
33,Renaissance Lane,Charlie,Bell,41,Head,Single,Male,Financial manager,None,None
33,Renaissance Lane,Samuel,Howard,38,None,Single,Male,Magazine journalist,None,Christian
33,Renaissance Lane,Judith,Macdonald,38,None,Single,Female,"Accountant, chartered certified",None,None
1,Owen Inlet,Phillip,Fox,20,Head,Single,Male,University Student,None,Catholic
2,Owen Inlet,Mandy,Edwards,42,Head,Divorced,Female,Maintenance engineer,None,None
2,Owen Inlet,Gavin,Edwards,21,Son,Single,Male,University Student,None,None
2,Owen Inlet,Kathryn,Edwards,17,Daughter,NA,Female,Student,None,NA
3,Owen Inlet,Joan,Phillips,43,Head,Married,Female,Adult guidance worker,None,None
3,Owen Inlet,Robin,Phillips,46,Husband,Married,Male,Water engineer,None,None
3,Owen Inlet,Maureen,Phillips,17,Daughter,NA,Female,Student,None,NA
4,Owen Inlet,Aaron,Parry,77,Head,Widowed,Male,Retired Charity fundraiser,None,Christian
5,Owen Inlet,Mohammed,Robson,23,Head,Single,Male,Games developer,None,Christian
6,Owen Inlet,Marilyn,Cooper,44,Head,Married,Female,Secondary school teacher,None,Methodist
6,Owen Inlet,Brian,Cooper,43,Husband,Married,Male,Music tutor,None,Methodist
7,Owen Inlet,Amber,Ward,83,Head,Divorced,Female,Retired Immigration officer,None,Christian
8,Owen Inlet,Malcolm,Adams,36,Head,Married,Male,Catering manager,None,Muslim
8,Owen Inlet,Tina,Adams,34,Wife,Married,Female,Recruitment consultant,None,Muslim
9,Owen Inlet,Wendy,Roberts,27,Head,Single,Female,Charity fundraiser,None,None
9,Owen Inlet,Suzanne,Roberts,3,Daughter,NA,Female,Child,None,NA
10,Owen Inlet,Simon,Alexander,29,Head,Single,Male,Health promotion specialist,None,None
11,Owen Inlet,Allan,Thompson,40,Head,Single,Male,Tourism officer,None,None
11,Owen Inlet,Vincent,Goodwin,51,None,Single,Male,Dramatherapist,None,Methodist
11,Owen Inlet,Howard,Price,26,None,Single,Male,Secretary/administrator,None,None
11,Owen Inlet,Marilyn,Smith,55,None,Single,Female,Barista,None,Christian
12,Owen Inlet,Amelia,Donnelly,62,Head,Single,Female,"Nurse, children's",None,Christian
13,Owen Inlet,Kathleen,Williams,46,Head,Married,Female,"Programme researcher, broadcasting/film/video",None,Methodist
13,Owen Inlet,Andrew,Williams,48,Husband,Married,Male,Catering manager,None,None
,Owen Inlet,Kevin,Phillips,45,Head,Divorced,Male,Data scientist,None,Methodist
15,Owen Inlet,Charlotte,Harvey,45,Head,Divorced,Female,Geophysical data processor,None,None
15,Owen Inlet,Leah,Harvey,15,Daughter,NA,Female,Student,None,NA
16,Owen Inlet,Mitchell,Steele,41,Head,Single,Male,Clinical research associate,None,None
17,Owen Inlet,Claire,Richardson,48,Head,Single,Female,Unemployed,None,None
17,Owen Inlet,Margaret,Richardson,14,Daughter,NA,Female,Student,None,NA
18,Owen Inlet,Alan,Jones,57,Head,Single,Male,Ship broker,None,Catholic
1,Price Prairie,Eleanor,King,60,Head,Single,Female,Recruitment consultant,None,Christian
1,Price Prairie,Gareth,King,42,Son,Divorced,Male,Unemployed,None,None
2,Price Prairie,Jason,Jones,41,Head,Married,Male,Social worker,None,Catholic
2,Price Prairie,Georgina,Jones,37,Wife,Married,Female,Tour manager,None,None
2,Price Prairie,Beverley,Jones,4,Daughter,NA,Female,Child,None,NA
2,Price Prairie,Eleanor,Jones,1,Daughter,NA,Female,Child,None,NA
3,Price Prairie,Kevin,Palmer,43,Head,Married,Male,Unemployed,None,Catholic
3,Price Prairie,Kate,Palmer,40,Wife,Married,Female,Tax adviser,None,None
4,Price Prairie,Dean,James,72,Head,Married,Male,Retired Building control surveyor,None,Christian
4,Price Prairie,Lynn,James,65,Wife,Married,Female,Publishing copy,None,Christian
5,Price Prairie,Heather,Robinson,52,Head,Married,Female,"Copywriter, advertising",None,Christian
5,Price Prairie,Cameron,Robinson,54,Husband,Married,Male,"Horticulturist, amenity",None,None
5,Price Prairie,Claire,Robinson,29,Daughter,Single,Female,Broadcast journalist,None,Christian
5,Price Prairie,Jodie,Robinson,25,Daughter,Single,Female,International aid/development worker,None,Christian
5,Price Prairie,Keith,Robinson,2,Son,NA,Male,Child,None,NA
6,Price Prairie,Elaine,Khan-Williams,37,Head,Married,Female,Water quality scientist,None,None
6,Price Prairie,Kevin,Khan-Williams,37,Husband,Married,Male,Dancer,None,None
6,Price Prairie,Ronald,Khan-Williams,12,Son,NA,Male,Student,None,NA
6,Price Prairie,Keith,Khan-Williams,8,Son,NA,Male,Student,None,NA
6,Price Prairie,Jacqueline,Khan-Williams,4,Daughter,NA,Female,Child,None,NA
7,Price Prairie,Beth,Gray,32,Head,Divorced,Female,Unemployed,None,None
7,Price Prairie,Elliott,Gray,4,Son,NA,Male,Child,None,NA
7,Price Prairie,Jack,Gray,4,Son,NA,Male,Child,None,NA
7,Price Prairie,Mitchell,Gray,2,Son,NA,Male,Child,None,NA
7,Price Prairie,Sian,Fox,41,Lodger,Divorced,Female,Academic librarian,None,None
8,Price Prairie,Amelia,Thorpe,51,Head,Married,Female,Restaurant manager,None,None
8,Price Prairie,Peter,Thorpe,53,Husband,Married,Male,Colour technologist,None,None
8,Price Prairie,Edward,Thorpe,15,Son,NA,Male,Student,None,NA
8,Price Prairie,Leon,Thorpe,13,Son,NA,Male,Student,None,NA
8,Price Prairie,Patricia,Thorpe,9,Daughter,NA,Female,Student,None,NA
9,Price Prairie,Thomas,Barker,58,Head,Single,Male,"Administrator, sports",None,Christian
9,Price Prairie,Jack,Berry,37,None,Single,Male,"Nurse, learning disability",None,Christian
10,Price Prairie,Marion,Gill,61,Head,Married,Female,Medical secretary,None,Methodist
10,Price Prairie,Francis,Gill,55,Husband,Married,Male,"Designer, interior/spatial",None,Methodist
11,Price Prairie,Debra,Jones,66,Head,Married,Female,Clinical cytogeneticist,None,Catholic
11,Price Prairie,Alan,Jones,68,Husband,Married,Male,Retired Primary school teacher,None,Catholic
11,Price Prairie,Pauline,Jones,42,Daughter,Widowed,Female,Multimedia programmer,None,Catholic
11,Price Prairie,Gemma,Jones,38,Daughter,Divorced,Female,Tour manager,None,Catholic
12,Price Prairie,Charles,Clayton,56,Head,Single,Male,Environmental consultant,None,None
12,Price Prairie,Kayleigh,Hopkins,63,None,Divorced,Female,"Embryologist, clinical",None,None
12,Price Prairie,Simon,Mills,18,None,Single,Male,Student,None,NA
12,Price Prairie,Rebecca,Taylor,55,None,Single,Female,Trade mark attorney,None,None
13,Price Prairie,Aimee,Metcalfe,49,Head,Single,Female,Systems developer,None,None
13,Price Prairie,Cheryl,Archer,43,None,Single,Female,"Production designer, theatre/television/film",None,Catholic
13,Price Prairie,Matthew,Bowen,38,None,Single,Male,Building surveyor,None,Christian
13,Price Prairie,Josephine,Armstrong,36,None,Single,Female,Photographer,None,Christian
13,Price Prairie,Albert,Pope,18,None,Single,Male,Student,None,NA
14,Price Prairie,Sam,Gordon,22,Head,Married,Male,University Student,None,None
14,Price Prairie,Kim,Gordon,19,Wife,Married,Female,University Student,None,None
15,Price Prairie,Chelsea,Moore,73,Head,Married,Female,Retired Community arts worker,None,Catholic
15,Price Prairie,Catherine,Moore,78,Wife,Married,Female,Retired Charity officer,None,Catholic
16,Price Prairie,Bethany,Oliver,43,Head,Divorced,Female,"Radiographer, therapeutic",None,Methodist
16,Price Prairie,Olivia,Oliver,18,Daughter,Divorced,Female,Student,None,Methodist
16,Price Prairie,Ian,Oliver,14,Son,NA,Male,Student,None,NA
17,Price Prairie,Kayleigh,Barber,33,Head,Married,Female,"Editor, film/video",None,None
17,Price Prairie,Jake,Barber,39,Husband,Married,Male,Art therapist,None,None
17,Price Prairie,Garry,Barber,4,Son,NA,Male,Child,None,NA
17,Price Prairie,Jane,Murray,49,Cousin,Divorced,Female,Unemployed,None,None
18,Price Prairie,Lydia,Walker,40,Head,Married,Female,Gaffer,None,Methodist
18,Price Prairie,Kieran,Walker,42,Husband,Married,Male,Air broker,None,None
18,Price Prairie,Jean,Leonard-Walker,17,Daughter,NA,Female,Student,None,NA
18,Price Prairie,David,Leonard-Walker,17,Son,NA,Male,Student,None,NA
18,Price Prairie,Mohammed,Leonard-Walker,11,Son,NA,Male,Student,None,NA
18,Price Prairie,Abdul,Leonard-Walker,8,Son,NA,Male,Student,None,NA
19,Price Prairie,Damien,Taylor,38,Head,Divorced,Male,Medical technical officer,None,Methodist
19,Price Prairie,Alan,Taylor,5,Son,NA,Male,Student,None,NA
19,Price Prairie,Ross,Taylor,5,Son,NA,Male,Student,None,NA
19,Price Prairie,Joel,Taylor,1,Son,NA,Male,Child,None,NA
20,Price Prairie,Gillian,Brown,57,Head,Married,Female,Air broker,None,None
20,Price Prairie,Gordon,Brown,55,Husband,Married,Male,"Surveyor, insurance",None,None
20,Price Prairie,David,Brown,18,Son,Single,Male,Student,None,None
20,Price Prairie,Leanne,Brown,11,Daughter,NA,Female,Student,None,NA
21,Price Prairie,Gail,Smith,43,Head,Married,Female,Hospital pharmacist,None,Christian
21,Price Prairie,Elliot,Smith,47,Husband,Married,Male,Mining engineer,None,Christian
21,Price Prairie,Marion,Smith,5,Daughter,NA,Female,Student,None,NA
21,Price Prairie,Carol,Burgess,27,Sibling,Single,Female,Surgeon,None,None
22,Price Prairie,Howard,Hill,62,Head,Single,Male,Medical technical officer,None,Christian
22,Price Prairie,Francesca,Schofield,36,None,Single,Female,Research scientist (maths),None,Christian
22,Price Prairie,Stuart,Smith,47,None,Single,Male,Museum education officer,None,Christian
23,Price Prairie,Roy,Lloyd,66,Head,Widowed,Male,Artist,None,None
24,Price Prairie,Mary,Robinson,75,Head,Widowed,Female,Retired Mudlogger,None,Methodist
24,Price Prairie,Jenna,Robinson,52,Daughter,Divorced,Female,Community arts worker,None,Methodist
24,Price Prairie,Harriet,Robinson,52,Daughter,Single,Female,Unemployed,None,None
25,Price Prairie,Paula,White,56,Head,Married,Female,"Programmer, applications",None,Christian
25,Price Prairie,Charles,White,58,Husband,Married,Male,"Production assistant, radio",None,Christian
26,Price Prairie,Lauren,Cook,53,Head,Married,Female,Armed forces training and education officer,None,Christian
26,Price Prairie,Duncan,Cook,56,Husband,Married,Male,Horticultural consultant,None,Christian
26,Price Prairie,Shaun,Cook,24,Adopted Son,Single,Male,"Administrator, local government",None,None
26,Price Prairie,Dawn,Cook,10,Daughter,NA,Female,Student,None,NA
27,Price Prairie,Jill,Black,86,Head,Widowed,Female,"Retired Secretary, company",None,None
28,Price Prairie,Louise,Birch,60,Head,Single,Female,Archivist,None,Methodist
28,Price Prairie,Gareth,Birch,43,Son,Divorced,Male,Arts administrator,None,Methodist
29,Price Prairie,Brett,Wilson,42,Head,Married,Male,"Administrator, charities/voluntary organisations",None,None
29,Price Prairie,Susan,Wilson,34,Wife,Married,Female,Dietitian,None,None
29,Price Prairie,Suzanne,Wilson,12,Step-Daughter,NA,Female,Student,None,NA
29,Price Prairie,Natalie,Wilson,6,Step-Daughter,NA,Female,Student,None,NA
29,Price Prairie,Clifford,Smith,5,Step-Son,NA,Male,Student,None,NA
30,Price Prairie,Jasmine,Edwards,46,Head,Married,Female,Drilling engineer,None,Christian
30,Price Prairie,Tom,Edwards,48,Husband,Married,Male,Microbiologist,None,Christian
30,Price Prairie,Alexandra,Edwards,12,Daughter,NA,Female,Student,None,NA
30,Price Prairie,Chelsea,Edwards,8,Daughter,NA,Female,Student,None,NA
30,Price Prairie,Amy,Edwards,8,Daughter,NA,Female,Student,None,NA
31,Price Prairie,Gavin,Lowe,36,Head,Single,Male,Brewing technologist,None,None
32,Price Prairie,Dominic,O'Connor,46,Head,Married,Male,Surgeon,None,Catholic
32,Price Prairie,Samantha,O'Connor,44,Wife,Married,Female,Research scientist (physical sciences),None,Catholic
33,Price Prairie,Jill,Campbell,65,Head,Married,Female,Unemployed,None,Christian
33,Price Prairie,Lawrence,Campbell,63,Husband,Married,Male,"Engineer, manufacturing",None,Christian
34,Price Prairie,Natasha,Green,40,Head,Married,Female,Systems developer,None,Muslim
34,Price Prairie,Shaun,Green,41,Husband,Married,Male,"Journalist, broadcasting",None,Muslim
34,Price Prairie,Joseph,Green,14,Son,NA,Male,Student,None,NA
1,Winchester Road,Abdul,Davies,20,Head,Single,Male,University Student,None,Jewish
2,Winchester Road,Peter,Smith,82,Head,Married,Male,"Retired Therapist, music",None,Christian
2,Winchester Road,Lynne,Smith,80,Wife,Married,Female,"Retired Psychologist, educational",None,None
3,Winchester Road,Terence,Johnson,22,Head,Single,Male,University Student,None,None
4,Winchester Road,Jacqueline,Powell,28,Head,Married,Female,Art gallery manager,None,None
4,Winchester Road,Darren,Powell,26,Husband,Married,Male,Primary school teacher,None,None
5,Winchester Road,Carolyn,May,55,Head,Married,Female,Video editor,None,Christian
5,Winchester Road,Iain,May,58,Husband,Married,Male,Unemployed,None,Christian
5,Winchester Road,Philip,May,26,Son,Single,Male,Community education officer,None,None
5,Winchester Road,Patricia,May,23,Daughter,Single,Female,"Psychologist, occupational",None,Christian
6,Winchester Road,Donna,Curtis,41,Head,Married,Female,Corporate investment banker,None,Catholic
6,Winchester Road,Richard,Curtis,43,Husband,Married,Male,Hydrogeologist,None,Catholic
6,Winchester Road,Jay,Curtis,4,Son,NA,Male,Child,None,NA
6,Winchester Road,Geraldine,Curtis,2,Daughter,NA,Female,Child,None,NA
6,Winchester Road,Shirley,Bell,40,Lodger,Single,Female,Chief Marketing Officer,None,Christian
7,Winchester Road,Eileen,Jones,30,Head,Single,Female,"Restaurant manager, fast food",None,None
7,Winchester Road,Howard,Roberts,60,Lodger,Single,Male,Solicitor,None,None
7,Winchester Road,Rita,Quinn,26,Lodger,Single,Female,Product/process development scientist,None,None
7,Winchester Road,Alexander,Farmer,57,Lodger,Divorced,Male,"Journalist, magazine",None,None
8,Winchester Road,Daniel,Patel,51,Head,Married,Male,"Scientist, water quality",None,Methodist
8,Winchester Road,Marie,Patel,47,Wife,Married,Female,"Radiographer, diagnostic",None,Methodist
8,Winchester Road,Emma,Patel,4,Daughter,NA,Female,Child,None,NA
8,Winchester Road,Damien,Patel,4,Son,NA,Male,Child,None,NA
8,Winchester Road,Megan,Rowley,53,Visitor,Widowed,Female,Unemployed,None,None
9,Winchester Road,Gary,Edwards,43,Head,Single,Male,Dentist,None,Christian
9,Winchester Road,Josephine,Buckley,41,Partner,Single,Female,Web designer,None,Christian
10,Winchester Road,Bethany,Williams,38,Head,Single,Female,Contracting civil engineer,None,None
11,Winchester Road,Julian,Robinson,41,Head,Married,Male,"Scientist, product/process development",None,None
11,Winchester Road,Leanne,Robinson,39,Wife,Married,Female,Magazine features editor,None,None
11,Winchester Road,Bethan,Robinson,16,Daughter,NA,Female,Student,None,NA
12,Winchester Road,Steven,Davies,46,Head,Single,Male,Production manager,None,Muslim
12,Winchester Road,Hollie,Peters,19,None,Single,Female,University Student,None,Christian
13,Winchester Road,Glenn,John,26,Head,Widowed,Male,Energy manager,None,Catholic
14,Winchester Road,Clifford,Wilson,47,Head,Single,Male,Broadcast engineer,None,Catholic
14,Winchester Road,Gerard,Robinson,45,None,Single,Male,Energy manager,None,None
14,Winchester Road,Dawn,Potts,48,None,Single,Female,"Research officer, political party",None,None
14,Winchester Road,Jeremy,Burton,20,None,Single,Male,Civil Service fast streamer,None,Muslim
14,Winchester Road,Damian,Cook,26,None,Single,Male,Unemployed,None,None
15,Winchester Road,Hazel,Gardiner,41,Head,Single,Female,Contracting civil engineer,None,Catholic
15,Winchester Road,Daniel,Lewis,45,Partner,Single,Male,Architectural technologist,None,Catholic
15,Winchester Road,Beth,Gardiner,13,Daughter,NA,Female,Student,None,NA
16,Winchester Road,Carole,Barker,78,Head,Widowed,Female,"Retired Administrator, sports",None,Christian
17,Winchester Road,Hilary,Stewart,45,Head,Divorced,Female,Unemployed,None,None
17,Winchester Road,Jean,Stewart,18,Daughter,Divorced,Female,Student,None,None
17,Winchester Road,Debra,Stewart,17,Daughter,NA,Female,Student,None,NA
17,Winchester Road,Antony,Stewart,13,Son,NA,Male,Student,None,NA
18,Winchester Road,Bethany,Davies,55,Head,Single,Female,Local government officer,None,Christian
18,Winchester Road,Leigh,Woods,58,Partner,Single,Male,"Civil engineer, consulting",None,Christian
19,Winchester Road,Robin,Rogers,36,Head,Single,Male,Actor,None,Christian
19,Winchester Road,Natasha,Hunt,33,Partner,Single,Female,Volunteer coordinator,None,None
19,Winchester Road,Christian,Taylor,47,Lodger,Single,Male,"Teacher, English as a foreign language",None,None
20,Winchester Road,Shannon,Blake,44,Head,Single,Female,"Journalist, broadcasting",None,Christian
20,Winchester Road,Adrian,Hill,46,Partner,Single,Male,Applications developer,None,Christian
20,Winchester Road,Brian,Blake,7,Son,NA,Male,Student,None,NA
20,Winchester Road,Gary,Blake,6,Son,NA,Male,Student,None,NA
20,Winchester Road,Mitchell,Blake,2,Son,NA,Male,Child,None,NA
20,Winchester Road,Emma,Owens,26,Sibling,Single,Female,International aid/development worker,None,None
21,Winchester Road,Leon,Collins,63,Head,Single,Male,Biomedical engineer,None,Methodist
21,Winchester Road,Rosemary,Johnson,56,None,Single,Female,Warehouse manager,None,None
22,Winchester Road,Gemma,Holt,51,Head,Divorced,Female,Legal secretary,None,None
22,Winchester Road,Diana,Holt,16,Neice,NA,Female,Student,None,NA
23,Winchester Road,Sean,Hughes,22,Head,Single,Male,University Student,None,Christian
23,Winchester Road,Francesca,Thomas,22,None,Single,Female,University Student,None,Christian
23,Winchester Road,Robin,Jones,21,None,Single,Male,University Student,None,Methodist
23,Winchester Road,Anthony,Thomas,22,None,Single,Male,University Student,None,Christian
23,Winchester Road,Paul,Duncan,30,None,Single,Male,PhD Student,None,None
23,Winchester Road,Cameron,Bryant,19,None,Single,Male,University Student,None,None
24,Winchester Road,Laura,Johnson,70,Head,Married,Female,"Retired Engineer, civil (consulting)",None,Catholic
24,Winchester Road,Nigel,Johnson,76,Husband,Married,Male,Retired Television floor manager,None,Catholic
24,Winchester Road,Hayley,Reynolds,0,Granddaughter,NA,Female,Child,None,NA
25,Winchester Road,Benjamin,Smith,52,Head,Married,Male,Radiation protection practitioner,None,Christian
25,Winchester Road,Judith,Smith,51,Wife,Married,Female,Medical illustrator,None,None
25,Winchester Road,Mohammad,Smith,14,Son,NA,Male,Student,None,NA
26,Winchester Road,Carolyn,Lawrence,40,Head,Married,Female,IT trainer,None,None
26,Winchester Road,Ryan,Lawrence,45,Husband,Married,Male,"Psychologist, clinical",None,None
26,Winchester Road,Thomas,Lawrence,15,Son,NA,Male,Student,None,NA
26,Winchester Road,Samuel,Lawrence,13,Son,NA,Male,Student,None,NA
27,Winchester Road,Georgina,Pearson,52,Head,Single,Female,Human resources officer,None,Christian
27,Winchester Road,Tom,Dean,53,Partner,Single,Male,Set designer,None,Christian
27,Winchester Road,Carol,Pearson,15,Daughter,NA,Female,Student,None,NA
27,Winchester Road,Geraldine,Pearson,14,Daughter,NA,Female,Student,None,NA
27,Winchester Road,Hannah,Pearson,8,Daughter,NA,Female,Student,None,NA
28,Winchester Road,Clive,Hall,46,Head,Divorced,Male,"Programmer, multimedia",None,None
29,Winchester Road,Annette,Thomas,56,Head,Married,Female,Oceanographer,None,None
29,Winchester Road,Edward,Thomas,60,Husband,Married,Male,Land,None,None
29,Winchester Road,Eric,Thomas,14,Son,NA,Male,Student,None,NA
30,Winchester Road,Frances,Hudson,83,Head,Married,Female,"Retired Teacher, music",None,Christian
30,Winchester Road,Craig,Hudson,85,Husband,Married,Male,Retired Product/process development scientist,None,None
31,Winchester Road,Ruth,Wright,57,Head,Single,Female,"Exhibitions officer, museum/gallery",None,Christian
31,Winchester Road,Hugh,Davies,59,Partner,Single,Male,"Surveyor, rural practice",None,Christian
31,Winchester Road,Michelle,Wright,27,Daughter,Single,Female,Oncologist,None,None
31,Winchester Road,Clive,Wright,26,Son,Single,Male,Clinical research associate,None,None
31,Winchester Road,Jodie,Wright,14,Daughter,NA,Female,Student,None,NA
32,Winchester Road,Barbara,Wood,49,Head,Married,Female,Colour technologist,None,Catholic
32,Winchester Road,Joshua,Wood,46,Husband,Married,Male,Scientific laboratory technician,None,None
32,Winchester Road,Malcolm,Wood,15,Son,NA,Male,Student,None,NA
33,Winchester Road,Molly,Hill,57,Head,Divorced,Female,"Administrator, arts",None,Christian
33,Winchester Road,Malcolm,Hill,20,Son,Single,Male,"Teacher, secondary school",None,None
34,Winchester Road,Kathleen,Howell,58,Head,Divorced,Female,"Therapist, drama",None,Catholic
34,Winchester Road,Beverley,Howell,17,Daughter,NA,Female,Student,None,NA
34,Winchester Road,Jennifer,Howell,13,Daughter,NA,Female,Student,None,NA
34,Winchester Road,Lewis,Howell,8,Son,NA,Male,Student,None,NA
35,Winchester Road,Luke,Kirby-Fletcher,22,Head,Married,Male,University Student,None,None
35,Winchester Road,Jenna,Kirby-Fletcher,20,Wife,Married,Female,University Student,None,None
36,Winchester Road,Alexandra,Begum,31,Head,Single,Female,Social researcher,None,Christian
36,Winchester Road,Damian,Begum,5,Son,NA,Male,Student,None,NA
36,Winchester Road,Lewis,Begum,5,Son,NA,Male,Student,None,NA
36,Winchester Road,Nigel,Begum,4,Son,NA,Male,Child,None,NA
36,Winchester Road,Dylan,Begum,1,Son,NA,Male,Child,None,NA
37,Winchester Road,Lesley,Sharp,71,Head,Married,Female,Retired Commercial horticulturist,None,Christian
37,Winchester Road,Roger,Sharp,73,Husband,Married,Male,Retired Research scientist (medical),None,Christian
38,Winchester Road,Ronald,Bailey,30,Head,Divorced,Male,Unemployed,None,None
38,Winchester Road,Charles,Bailey,12,Son,NA,Male,Student,None,NA
39,Winchester Road,Simon,West,61,Head,Married,Male,Higher education careers adviser,None,None
39,Winchester Road,Karen,West,59,Wife,Married,Female,Senior tax professional/tax inspector,None,None
40,Winchester Road,Denise,Williams,71,Head,Married,Female,"Retired Scientist, product/process development",None,Catholic
40,Winchester Road,Dennis,Williams,78,Husband,Married,Male,Retired Armed forces technical officer,None,Catholic
41,Winchester Road,Jake,Clark,57,Head,Married,Male,"Teacher, music",None,Christian
41,Winchester Road,Jasmine,Clark,52,Wife,Married,Female,Location manager,None,Christian
41,Winchester Road,Max,Clark,13,Son,NA,Male,Student,None,NA
41,Winchester Road,Clare,Clark,10,Daughter,NA,Female,Student,None,NA
